"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"1" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"2" "high" "low" "18-24" "<18" "<18" "<18" "open"
"3" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"4" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"5" "high" "high" ">24" ">24" "<18" "18-24" "closed"
"6" "low" "low" ">24" "18-24" "<18" "<18" "open"
"7" "high" "high" "18-24" ">24" "<18" "18-24" "closed"
"8" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"9" "high" "high" "<18" "<18" "18-24" "<18" "closed"
"10" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"11" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"12" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"13" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"14" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"15" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"16" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"17" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"18" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"19" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"20" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"21" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"22" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"23" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"24" "low" "high" "18-24" "18-24" ">24" ">24" "open"
"25" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"26" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"27" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"28" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"29" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"30" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"31" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"32" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"33" "high" "high" "18-24" "<18" "<18" "<18" "open"
"34" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
