ìXï‹,ñæÇÈÇ≥,çLÇ≥,êÆëRÇ≥,ê¥åâÇ≥,ëÿç›éûä‘
ìXï‹1,1.7,2.02,1.69,1.88,15.98
ìXï‹2,3.46,3.51,1.96,3.98,57.97
ìXï‹3,2.15,1.27,1.42,2.08,15.37
ìXï‹4,3.74,3.67,3.58,3.66,44.7
ìXï‹5,4.09,4.4,4.02,3.45,50.01
ìXï‹6,4.22,3.32,3.76,3.81,44.96
ìXï‹7,4.39,3.46,4.42,4.1,34.3
ìXï‹8,1.19,1.46,1.14,0.98,19.83
ìXï‹9,4.05,3.6,3.71,4.07,40.4
ìXï‹10,2.94,3.34,3.31,0.71,30.44
ìXï‹11,1.47,1.85,1.48,2.17,25.57
ìXï‹12,2.96,3.21,3.42,0.94,27.77
ìXï‹13,3.67,3.17,2.26,3.91,65.08
ìXï‹14,3.79,3.63,3.65,3.51,37.56
ìXï‹15,3.55,3.01,2.37,4.1,60.92
ìXï‹16,3.82,3.8,3.85,4.13,36.41
ìXï‹17,1.78,1.69,1.56,1.83,32.72
ìXï‹18,1.24,1.46,1.59,1.61,30.34
ìXï‹19,1.57,1.38,1.68,2.14,15.73
ìXï‹20,4.08,3.79,3.87,3.55,54.28
ìXï‹21,3.63,3.04,2.62,4.17,65.72
ìXï‹22,3.05,3.99,3.93,3.52,52.92
ìXï‹23,1.04,1.53,1.62,1.42,13.4
ìXï‹24,3.52,3.03,1.67,3.22,59.87
ìXï‹25,1.61,1.94,1.87,1.55,22.46
ìXï‹26,4.07,3.91,3.65,3.64,49.66
ìXï‹27,3.66,4.04,4.07,3.47,36.98
ìXï‹28,3.87,3.21,3.67,3.49,39.68
ìXï‹29,2.87,2.9,3.5,0.87,25.54
ìXï‹30,1.64,2,1.62,1.62,18.85
ìXï‹31,1.95,1.55,1.69,1.88,23.59
ìXï‹32,4.03,3.65,3.64,3.63,53.23
ìXï‹33,3.98,3.61,3.86,3.62,43.61
ìXï‹34,3.05,3.15,3.69,1.77,27.98
ìXï‹35,3.54,4.1,2.32,3.8,55.54
ìXï‹36,2.34,2.01,1.44,1.85,23.16
ìXï‹37,4.15,4.05,4.01,3.66,38.74
ìXï‹38,3.6,4.03,1.99,4.23,63.3
ìXï‹39,1.68,1.73,1.79,1.94,28.47
ìXï‹40,3,2.92,3.54,1.37,27.94
ìXï‹41,3.92,3.67,2.23,4.02,74.95
ìXï‹42,4.08,3.15,2.33,3.7,74.61
ìXï‹43,4.13,3.36,3.59,4.02,44.57
ìXï‹44,4.16,4.21,4.06,3.52,49.36
ìXï‹45,1.53,1.69,1.79,1.64,14.79
ìXï‹46,3.56,3.8,1.55,3.3,66.72
ìXï‹47,1.81,1.16,1.31,1.14,22.54
ìXï‹48,1.53,1.51,1.86,2.07,23
ìXï‹49,4.09,3.61,1.88,4.38,58.37
ìXï‹50,4.11,3.97,3.65,3.76,46.39
ìXï‹51,4.25,3.29,1.95,3.92,61.85
ìXï‹52,3.38,4.14,4.2,4.33,34.24
ìXï‹53,3.69,3.92,2.31,4.13,65
ìXï‹54,3.16,3.31,3.66,1.13,25.58
ìXï‹55,2.09,1.46,1.72,1.79,16.32
ìXï‹56,1.36,1.69,1.25,2.14,25.83
ìXï‹57,1.45,1.7,1.68,1.04,32.02
ìXï‹58,3.76,3.48,4.06,3.95,36.24
ìXï‹59,1.23,1.32,1.23,1.47,15.25
ìXï‹60,3.69,3.41,3.95,3.46,46.63
ìXï‹61,4.03,3.39,4.09,3.77,39.5
ìXï‹62,4.06,3.87,4,3.53,43.06
ìXï‹63,4.24,3.63,3.67,3.96,46.37
ìXï‹64,4.08,3.8,3.83,3.77,51.57
ìXï‹65,3.36,3.65,3.92,4.03,59.18
ìXï‹66,3.23,2.79,3.36,1.6,31.05
ìXï‹67,3.81,3.88,2.17,3.95,66.88
ìXï‹68,0.84,1.51,1.1,1.57,33.7
ìXï‹69,1.67,1.55,1.77,1.14,27.55
ìXï‹70,1.48,1.23,1.52,1.92,24.9
ìXï‹71,4.28,4.13,3.39,2.9,45.78
