time	NOn	NOff	Apo	hist	NOn_sh	NOff_sh	Apo_sh	hist_sh
2.979515	6	80	18	6	6	1	56	6
2.983071	6	80	18	6	6	1	56	6
2.984750	6	80	18	6	6	1	57	6
2.987819	8	79	17	8	6	1	56	6
3.005793	8	80	17	8	6	1	55	6
3.011336	8	80	18	8	6	1	55	6
3.013728	8	80	19	8	6	1	55	6
3.020695	8	80	20	8	6	1	55	6
3.022466	8	81	20	8	6	1	55	6
3.034068	8	82	20	8	6	1	55	6
3.035174	8	82	20	8	6	1	56	6
3.050157	8	82	20	8	6	1	57	6
3.053748	8	83	20	8	6	1	57	6
3.057073	8	83	19	8	6	1	57	6
3.074919	8	82	20	8	6	1	57	6
3.077727	8	83	20	8	6	1	57	6
3.082859	8	83	20	8	6	1	56	6
3.085071	9	82	20	9	6	1	56	6
3.091235	9	83	20	9	6	1	56	6
3.095224	9	84	20	9	6	1	56	6
3.101090	10	84	20	10	6	1	56	6
3.105781	10	85	20	10	6	1	56	6
3.106688	10	85	20	10	6	1	57	6
3.106986	10	86	20	10	6	1	57	6
3.113350	10	87	20	10	6	1	57	6
3.118100	10	87	20	10	6	1	58	6
3.129995	10	88	20	10	6	1	58	6
3.134577	10	89	20	10	6	1	58	6
3.134686	10	89	20	10	5	3	58	6
3.143570	9	90	21	10	4	4	58	6
3.155249	9	91	21	10	4	4	58	6
3.161377	10	90	21	11	4	4	59	6
3.165359	9	92	21	11	4	4	59	6
3.189652	9	92	20	11	4	4	59	6
3.207356	9	92	20	11	4	4	59	6
3.217106	9	92	20	11	4	5	59	7
3.221867	9	93	20	11	4	5	59	7
3.242085	9	94	20	11	4	5	59	7
3.242361	9	94	20	11	4	5	60	7
3.258049	9	94	20	11	4	5	61	7
3.261802	9	94	20	11	4	5	62	7
3.264621	9	95	20	11	4	5	62	7
3.266288	9	95	20	11	4	5	63	7
3.270036	9	95	21	11	4	5	63	7
3.293010	9	96	21	11	4	5	63	7
3.298014	9	96	21	11	4	5	64	7
3.313939	9	96	21	11	4	5	65	7
3.318226	9	97	21	11	4	5	65	7
3.323937	9	98	21	11	4	5	65	7
3.328040	9	98	21	11	4	5	66	7
3.344656	9	98	21	11	4	5	65	7
3.350550	9	98	21	11	4	5	64	7
3.354246	9	98	21	11	4	5	64	7
3.355434	9	99	21	11	4	5	63	7
3.356846	9	99	21	11	4	4	64	7
3.357107	9	100	21	11	4	4	64	7
3.363895	9	101	21	11	4	4	64	7
3.376040	9	101	21	11	4	4	65	7
3.389565	9	102	21	11	4	4	65	7
3.414760	10	102	21	12	4	4	65	7
3.422757	10	102	21	12	4	4	66	7
3.432015	9	103	21	12	4	4	67	7
3.435884	9	103	21	12	4	4	68	7
3.437117	9	103	21	12	4	4	69	7
3.451403	9	104	21	12	4	4	69	7
3.451674	9	104	21	12	4	4	70	7
3.451884	9	105	21	13	4	4	70	7
3.452345	9	106	21	13	4	4	70	7
3.484565	9	106	21	13	4	4	69	7
3.489777	9	105	21	13	4	4	70	7
3.494767	9	105	21	13	4	4	71	8
3.501457	9	105	22	13	4	4	71	8
3.502696	9	105	23	13	4	4	71	8
3.504437	9	105	23	13	4	4	72	8
3.505845	9	105	23	13	4	4	73	8
3.510023	9	106	23	13	4	4	73	8
3.517376	9	107	23	13	4	4	73	8
3.520397	10	106	22	14	4	4	73	8
3.523144	10	106	22	14	4	4	72	8
3.526025	9	107	22	13	4	4	72	8
3.533890	9	107	22	13	4	4	71	8
3.535944	8	107	23	13	4	4	71	8
3.536343	8	106	23	13	4	4	72	8
3.549995	8	106	23	13	4	4	71	8
3.555871	8	106	23	13	4	4	71	8
3.555947	8	107	23	13	4	4	71	8
3.574748	8	108	23	13	4	4	71	8
3.575140	8	109	23	13	4	4	71	8
3.584032	8	110	23	13	4	4	71	8
3.584382	8	110	23	13	4	4	72	8
3.596101	8	110	23	13	4	4	73	8
3.607886	8	111	23	13	4	4	73	8
3.608917	8	111	23	13	4	4	74	8
3.609086	8	112	23	13	2	6	74	8
3.613661	8	113	23	13	2	6	74	8
3.614668	8	113	23	13	2	5	75	8
3.616428	9	112	22	14	2	5	75	8
3.617440	8	112	22	13	2	5	76	8
3.624595	8	112	22	13	2	5	77	8
3.630660	8	112	22	13	2	5	78	8
3.637014	8	112	23	13	2	5	78	8
3.638796	8	113	23	13	2	5	78	8
3.641569	8	114	23	13	2	5	78	8
3.643215	8	115	23	13	2	5	78	8
3.646126	8	116	23	13	2	5	78	8
3.670928	8	117	23	13	2	5	78	8
3.677945	8	117	23	13	2	5	79	8
3.680192	7	119	23	13	2	5	79	8
3.684474	7	119	24	13	2	5	79	8
3.688300	7	120	24	13	2	5	79	8
3.697290	7	120	24	13	2	5	80	8
3.700489	7	121	24	13	2	5	80	8
